state,vaccine_rec,hospital_rec,doctor_rec,supply_chain_rec,budget_rec,priority,recommendation
Kerala,"Increase vaccine stock by 9,530,262 doses. Maintain 571 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 39,899.21 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Critical Priority.",Critical Priority,"Increase vaccine stock by 9,530,262 doses. Maintain 571 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 39,899.21 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Critical Priority."
Ladakh,"Increase vaccine stock by 78,120 doses. Maintain 7 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 148 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 436.62 Cr. Breakdown — Operations: 94.5%, Vaccine: 0.4%, Infrastructure: 5.1%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 78,120 doses. Maintain 7 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 148 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 436.62 Cr. Breakdown — Operations: 94.5%, Vaccine: 0.4%, Infrastructure: 5.1%. Priority Tier: Low Priority."
Lakshadweep,"Increase vaccine stock by 20,252 doses. Maintain 2 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Recruit 39 additional doctors. Incentivize rural postings with additional pay and housing allowances.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 297.32 Cr. Breakdown — Operations: 97.9%, Vaccine: 0.1%, Infrastructure: 2.0%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 20,252 doses. Maintain 2 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Recruit 39 additional doctors. Incentivize rural postings with additional pay and housing allowances. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 297.32 Cr. Breakdown — Operations: 97.9%, Vaccine: 0.1%, Infrastructure: 2.0%. Priority Tier: Low Priority."
Madhya Pradesh,"Increase vaccine stock by 9,304,012 doses. Maintain 787 cold chain units for distribution.","Build 13 new hospitals. Add 1,222 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 38,383.54 Cr. Breakdown — Operations: 99.0%, Vaccine: 0.5%, Infrastructure: 0.5%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 9,304,012 doses. Maintain 787 cold chain units for distribution. | Build 13 new hospitals. Add 1,222 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 38,383.54 Cr. Breakdown — Operations: 99.0%, Vaccine: 0.5%, Infrastructure: 0.5%. Priority Tier: High Priority."
Maharashtra,"Increase vaccine stock by 13,232,024 doses. Maintain 1119 cold chain units for distribution.","Build 297 new hospitals. Add 29,620 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring.,"Recommended total budget for 2028-29: Rs 74,735.35 Cr. Breakdown — Operations: 93.7%, Vaccine: 0.4%, Infrastructure: 6.0%. Priority Tier: Critical Priority.",Critical Priority,"Increase vaccine stock by 13,232,024 doses. Maintain 1119 cold chain units for distribution. | Build 297 new hospitals. Add 29,620 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring. | Recommended total budget for 2028-29: Rs 74,735.35 Cr. Breakdown — Operations: 93.7%, Vaccine: 0.4%, Infrastructure: 6.0%. Priority Tier: Critical Priority."
Manipur,"Increase vaccine stock by 108,613 doses. Maintain 28 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 741 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,458.54 Cr. Breakdown — Operations: 91.9%, Vaccine: 0.5%, Infrastructure: 7.6%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 108,613 doses. Maintain 28 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 741 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,458.54 Cr. Breakdown — Operations: 91.9%, Vaccine: 0.5%, Infrastructure: 7.6%. Priority Tier: Low Priority."
Meghalaya,"Increase vaccine stock by 324,166 doses. Maintain 28 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 612 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,836.04 Cr. Breakdown — Operations: 94.6%, Vaccine: 0.4%, Infrastructure: 5.0%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 324,166 doses. Maintain 28 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 612 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,836.04 Cr. Breakdown — Operations: 94.6%, Vaccine: 0.4%, Infrastructure: 5.0%. Priority Tier: Medium Priority."
Mizoram,"Increase vaccine stock by 254,533 doses. Maintain 22 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 325 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,181.82 Cr. Breakdown — Operations: 95.4%, Vaccine: 0.4%, Infrastructure: 4.1%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 254,533 doses. Maintain 22 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 325 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,181.82 Cr. Breakdown — Operations: 95.4%, Vaccine: 0.4%, Infrastructure: 4.1%. Priority Tier: Low Priority."
Nagaland,"Increase vaccine stock by 233,554 doses. Maintain 20 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 300 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,185.70 Cr. Breakdown — Operations: 95.8%, Vaccine: 0.4%, Infrastructure: 3.8%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 233,554 doses. Maintain 20 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 300 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,185.70 Cr. Breakdown — Operations: 95.8%, Vaccine: 0.4%, Infrastructure: 3.8%. Priority Tier: Low Priority."
Odisha,"Increase vaccine stock by 4,953,453 doses. Maintain 419 cold chain units for distribution.","Build 18 new hospitals. Add 1,727 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 21,414.13 Cr. Breakdown — Operations: 98.3%, Vaccine: 0.5%, Infrastructure: 1.2%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 4,953,453 doses. Maintain 419 cold chain units for distribution. | Build 18 new hospitals. Add 1,727 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 21,414.13 Cr. Breakdown — Operations: 98.3%, Vaccine: 0.5%, Infrastructure: 1.2%. Priority Tier: High Priority."
Puducherry,"Increase vaccine stock by 408,649 doses. Maintain 23 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 409 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,582.16 Cr. Breakdown — Operations: 95.8%, Vaccine: 0.3%, Infrastructure: 3.9%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 408,649 doses. Maintain 23 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 409 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,582.16 Cr. Breakdown — Operations: 95.8%, Vaccine: 0.3%, Infrastructure: 3.9%. Priority Tier: Medium Priority."
